gene_id,gene,log2.fold_change.,p_value,q_value,Sig
ENSMUSG00000039680.9,Mrps6,1.27856,5e-05,0.000496523,Up
ENSMUSG00000032353.8,Tmed3,1.27763,5e-05,0.000496523,Up
ENSMUSG00000107659.1,RP23-49L8.5,1.2774,5e-05,0.000496523,Up
ENSMUSG00000030536.10,Iqgap1,1.27717,5e-05,0.000496523,Up
ENSMUSG00000028333.10,Anp32b,1.27609,5e-05,0.000496523,Up
ENSMUSG00000022505.8,Emp2,1.27567,5e-05,0.000496523,Up
ENSMUSG00000026921.18,Egfl7,1.27463,5e-05,0.000496523,Up
ENSMUSG00000085862.1,Gm13483,-1.27453,0.0235,0.0802917,Down
ENSMUSG00000021025.7,Nfkbia,1.27305,5e-05,0.000496523,Up
ENSMUSG00000008683.16,Rps15a,1.27239,5e-05,0.000496523,Up
ENSMUSG00000048027.7,Rgmb,1.27115,5e-05,0.000496523,Up
ENSMUSG00000091957.3,Rps2-ps10,1.26936,4e-04,0.00295434,Up
ENSMUSG00000075270.11,Pde11a,-1.26812,0.00075,0.00500121,Down
ENSMUSG00000073415.4,Gm10501,-1.26747,3e-04,0.00231628,Down
ENSMUSG00000058173.11,Smco4,1.26622,0.00035,0.00263998,Up
ENSMUSG00000008393.8,Carhsp1,1.26608,5e-05,0.000496523,Up
ENSMUSG00000066406.14,Akap13,1.26533,5e-05,0.000496523,Up
ENSMUSG00000009207.15,Lnp,-1.26444,0.0055,0.025457,Down
ENSMUSG00000051456.4,Hspb3,-1.26357,0.03565,0.110416,Down
ENSMUSG00000025221.15,Kcnip2,-1.26302,5e-05,0.000496523,Down
ENSMUSG00000017417.14,Plxdc1,-1.26266,5e-05,0.000496523,Down
ENSMUSG00000040794.5,C1qtnf4,-1.26264,5e-05,0.000496523,Down
ENSMUSG00000027489.15,Necab3,-1.26255,0.0012,0.00737635,Down
ENSMUSG00000021280.8,Exoc3l4,1.2623,5e-05,0.000496523,Up
ENSMUSG00000031023.5,Akip1,1.26177,0.0036,0.0181064,Up
ENSMUSG00000023143.10,Nagpa,1.26103,5e-05,0.000496523,Up
ENSMUSG00000015843.10,Rxrg,1.25975,0.00015,0.00129406,Up
ENSMUSG00000021294.7,Kif26a,1.25973,5e-05,0.000496523,Up
ENSMUSG00000042388.14,Dlgap3,-1.25882,5e-05,0.000496523,Down
ENSMUSG00000085315.7,A430018G15Rik,-1.25871,5e-05,0.000496523,Down
ENSMUSG00000025464.14,Paox,1.25686,5e-05,0.000496523,Up
ENSMUSG00000036820.11,Amdhd2,1.25505,5e-05,0.000496523,Up
ENSMUSG00000038650.14,Rnh1,1.25375,5e-05,0.000496523,Up
ENSMUSG00000092274.2,Neat1,1.25103,5e-05,0.000496523,Up
ENSMUSG00000032258.15,Lca5,-1.25033,0.0378,0.11518,Down
ENSMUSG00000005716.16,Pvalb,-1.25009,5e-05,0.000496523,Down
ENSMUSG00000041801.5,Phlda3,1.24909,5e-05,0.000496523,Up
ENSMUSG00000027890.17,Gstm4,1.24862,0.0011,0.00683607,Up
ENSMUSG00000051906.14,Cd209f,1.24826,0.00985,0.0403318,Up
ENSMUSG00000003228.8,Grk5,1.24781,0.0308,0.0993582,Up
ENSMUSG00000022724.15,Mina,1.24668,0.0102,0.0414506,Up
ENSMUSG00000032332.17,Col12a1,1.24538,0.0131,0.0508408,Up
ENSMUSG00000026893.4,Gca,-1.24532,0.0276,0.0911901,Down
